name,sku,type,price,description,category,stock_quantity,regular_price
生日蛋糕-5吋-紅心芭樂,cake-5in-guava,simple,950,新鮮紅心芭樂，酸甜清爽,生日蛋糕,5,950
生日蛋糕-5吋-芒果,cake-5in-mango,simple,950,濃郁芒果香，果肉飽滿,生日蛋糕,5,950
生日蛋糕-5吋-玫瑰,cake-5in-rose,simple,950,玫瑰花香，優雅迷人,生日蛋糕,5,950
生日蛋糕-5吋-草莓覆盆子,cake-5in-strawberry-raspberry,simple,950,新鮮莓果，酸甜適中,生日蛋糕,5,950
生日蛋糕-5吋-巧克力覆盆子,cake-5in-chocolate-raspberry,simple,950,濃郁巧克力配覆盆子,生日蛋糕,5,950
生日蛋糕-5吋-栗子伯爵,cake-5in-chestnut-earl,simple,950,栗子香甜，伯爵茶香,生日蛋糕,5,950
生日蛋糕-5吋-抹茶柚子,cake-5in-matcha-yuzu,simple,950,抹茶苦香配柚子酸爽,生日蛋糕,5,950
生日蛋糕-5吋-芒果覆盆子,cake-5in-mango-raspberry,simple,950,芒果香甜配覆盆子酸,生日蛋糕,5,950
生日蛋糕-6吋-紅心芭樂,cake-6in-guava,simple,1250,新鮮紅心芭樂，酸甜清爽,生日蛋糕,8,1250
生日蛋糕-6吋-芒果,cake-6in-mango,simple,1250,濃郁芒果香，果肉飽滿,生日蛋糕,8,1250
生日蛋糕-6吋-玫瑰,cake-6in-rose,simple,1250,玫瑰花香，優雅迷人,生日蛋糕,8,1250
生日蛋糕-6吋-草莓覆盆子,cake-6in-strawberry-raspberry,simple,1250,新鮮莓果，酸甜適中,生日蛋糕,8,1250
生日蛋糕-6吋-巧克力覆盆子,cake-6in-chocolate-raspberry,simple,1250,濃郁巧克力配覆盆子,生日蛋糕,8,1250
生日蛋糕-6吋-栗子伯爵,cake-6in-chestnut-earl,simple,1250,栗子香甜，伯爵茶香,生日蛋糕,8,1250
生日蛋糕-6吋-抹茶柚子,cake-6in-matcha-yuzu,simple,1250,抹茶苦香配柚子酸爽,生日蛋糕,8,1250
生日蛋糕-6吋-芒果覆盆子,cake-6in-mango-raspberry,simple,1250,芒果香甜配覆盆子酸,生日蛋糕,8,1250
生日蛋糕-8吋-紅心芭樂,cake-8in-guava,simple,1600,新鮮紅心芭樂，酸甜清爽,生日蛋糕,6,1600
生日蛋糕-8吋-芒果,cake-8in-mango,simple,1600,濃郁芒果香，果肉飽滿,生日蛋糕,6,1600
生日蛋糕-8吋-玫瑰,cake-8in-rose,simple,1600,玫瑰花香，優雅迷人,生日蛋糕,6,1600
生日蛋糕-8吋-草莓覆盆子,cake-8in-strawberry-raspberry,simple,1600,新鮮莓果，酸甜適中,生日蛋糕,6,1600
生日蛋糕-8吋-巧克力覆盆子,cake-8in-chocolate-raspberry,simple,1600,濃郁巧克力配覆盆子,生日蛋糕,6,1600
生日蛋糕-8吋-栗子伯爵,cake-8in-chestnut-earl,simple,1600,栗子香甜，伯爵茶香,生日蛋糕,6,1600
生日蛋糕-8吋-抹茶柚子,cake-8in-matcha-yuzu,simple,1600,抹茶苦香配柚子酸爽,生日蛋糕,6,1600
生日蛋糕-8吋-芒果覆盆子,cake-8in-mango-raspberry,simple,1600,芒果香甜配覆盆子酸,生日蛋糕,6,1600
生日蛋糕-9吋-紅心芭樂,cake-9in-guava,simple,2200,新鮮紅心芭樂，酸甜清爽,生日蛋糕,4,2200
生日蛋糕-9吋-芒果,cake-9in-mango,simple,2200,濃郁芒果香，果肉飽滿,生日蛋糕,4,2200
生日蛋糕-9吋-玫瑰,cake-9in-rose,simple,2200,玫瑰花香，優雅迷人,生日蛋糕,4,2200
生日蛋糕-9吋-草莓覆盆子,cake-9in-strawberry-raspberry,simple,2200,新鮮莓果，酸甜適中,生日蛋糕,4,2200
生日蛋糕-9吋-巧克力覆盆子,cake-9in-chocolate-raspberry,simple,2200,濃郁巧克力配覆盆子,生日蛋糕,4,2200
生日蛋糕-9吋-栗子伯爵,cake-9in-chestnut-earl,simple,2200,栗子香甜，伯爵茶香,生日蛋糕,4,2200
生日蛋糕-9吋-抹茶柚子,cake-9in-matcha-yuzu,simple,2200,抹茶苦香配柚子酸爽,生日蛋糕,4,2200
生日蛋糕-9吋-芒果覆盆子,cake-9in-mango-raspberry,simple,2200,芒果香甜配覆盆子酸,生日蛋糕,4,2200
生日蛋糕-10吋-紅心芭樂,cake-10in-guava,simple,2800,新鮮紅心芭樂，酸甜清爽,生日蛋糕,3,2800
生日蛋糕-10吋-芒果,cake-10in-mango,simple,2800,濃郁芒果香，果肉飽滿,生日蛋糕,3,2800
生日蛋糕-10吋-玫瑰,cake-10in-rose,simple,2800,玫瑰花香，優雅迷人,生日蛋糕,3,2800
生日蛋糕-10吋-草莓覆盆子,cake-10in-strawberry-raspberry,simple,2800,新鮮莓果，酸甜適中,生日蛋糕,3,2800
生日蛋糕-10吋-巧克力覆盆子,cake-10in-chocolate-raspberry,simple,2800,濃郁巧克力配覆盆子,生日蛋糕,3,2800
生日蛋糕-10吋-栗子伯爵,cake-10in-chestnut-earl,simple,2800,栗子香甜，伯爵茶香,生日蛋糕,3,2800
生日蛋糕-10吋-抹茶柚子,cake-10in-matcha-yuzu,simple,2800,抹茶苦香配柚子酸爽,生日蛋糕,3,2800
生日蛋糕-10吋-芒果覆盆子,cake-10in-mango-raspberry,simple,2800,芒果香甜配覆盆子酸,生日蛋糕,3,2800
